令和６（２０２４）年　社会医療診療行為別統計　令和６年８月審査分,,,,,,,,,,
診療行為の状況　医科診療　第１８表　医科診療　回数・点数，診療行為（細分類）、入院－入院外別,,,,,,,,,,
注：１）表側欄内の数字は固定点数である。,,,,,,,,,,
注：２）＊がついている診療行為の回数は再掲である。,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,
注：４）総数には、入院時食事・生活療養を含まない。,,,,,,,,,,
注：５）「結核病棟特別入院基本料」には、特定機能病院の特別入院基本料を含む。,,,,,,,,,,
注：６）「薬剤料（診療識別80）」は、リハビリテーション及び精神科専門療法の薬剤料である。,,,,,,,,,,
注：７）「特定保険医療材料料（診療識別80）　酸素料」は、精神科専門療法の酸素料である。,,,,,,,,,,
注：８）「特定保険医療材料料（診療識別80）　酸素料以外」は、精神科専門療法及び放射線治療の特定保険医療材料料である。,,,,,,,,,,
注：９）「造血幹細胞移植　提供者の療養上の費用」には、骨髄移植及び末梢血管細胞移植における提供者の療養上の費用を含む。,,,,,,,,,,
,,,,,総数,総数,入院,入院,入院外,入院外
,,,,,回数,点数,回数,点数,回数,点数
診療行為１,診療行為２,診療行為３,固定点数,再掲,回,点,回,点,回,点
手術計,心・脈管小計－（心，心膜，肺動静脈，冠血管等）,ダムス・ケー・スタンセル（ＤＫＳ）吻合を伴う大動脈狭窄症手術,115750 ,,2 ,231500 ,2 ,231500 ,-,-
手術計,心・脈管小計－（心，心膜，肺動静脈，冠血管等）,ロス手術（自己肺動脈弁組織による大動脈基部置換術）,192920 ,,2 ,385840 ,2 ,385840 ,-,-
手術計,心・脈管小計－（心，心膜，肺動静脈，冠血管等）,閉鎖式僧帽弁交連切開術,38450 ,,-,-,-,-,-,-
手術計,心・脈管小計－（心，心膜，肺動静脈，冠血管等）,経皮的僧帽弁拡張術,34930 ,,5 ,174650 ,5 ,174650 ,-,-
手術計,心・脈管小計－（心，心膜，肺動静脈，冠血管等）,経皮的僧帽弁クリップ術,34930 ,,226 ,7894180 ,226 ,7894180 ,-,-
手術計,心・脈管小計－（心，心膜，肺動静脈，冠血管等）,大動脈瘤切除術（吻合又は移植を含む）　上行大動脈　大動脈弁置換術又は形成術を伴うもの,114510 ,,109 ,12481590 ,109 ,12481590 ,-,-
手術計,心・脈管小計－（心，心膜，肺動静脈，冠血管等）,大動脈瘤切除術（吻合又は移植を含む）　上行大動脈　人工弁置換術を伴う大動脈基部置換術 ,128820 ,,86 ,11078520 ,86 ,11078520 ,-,-
手術計,心・脈管小計－（心，心膜，肺動静脈，冠血管等）,大動脈瘤切除術（吻合又は移植を含む）　上行大動脈　自己弁温存型大動脈基部置換術,166720 ,,20 ,3334400 ,20 ,3334400 ,-,-
手術計,心・脈管小計－（心，心膜，肺動静脈，冠血管等）,大動脈瘤切除術（吻合又は移植を含む）　上行大動脈　その他のもの,100200 ,,205 ,20541000 ,205 ,20541000 ,-,-
手術計,心・脈管小計－（心，心膜，肺動静脈，冠血管等）,大動脈瘤切除術（吻合又は移植を含む）　弓部大動脈,114510 ,,100 ,11451000 ,100 ,11451000 ,-,-
手術計,心・脈管小計－（心，心膜，肺動静脈，冠血管等）,大動脈瘤切除術（吻合又は移植を含む）　上行大動脈及び弓部大動脈の同時手術　大動脈弁置換術又は形成術を伴うもの,187370 ,,30 ,5621100 ,30 ,5621100 ,-,-
手術計,心・脈管小計－（心，心膜，肺動静脈，冠血管等）,大動脈瘤切除術（吻合又は移植を含む）　上行大動脈及び弓部大動脈の同時手術　人工弁置換術を伴う大動脈基部置換術,210790 ,,12 ,2529480 ,12 ,2529480 ,-,-
