令和６（２０２４）年　社会医療診療行為別統計　令和６年８月審査分,,,,,,,,,,
診療行為の状況　医科診療　第１８表　医科診療　回数・点数，診療行為（細分類）、入院－入院外別,,,,,,,,,,
注：１）表側欄内の数字は固定点数である。,,,,,,,,,,
注：２）＊がついている診療行為の回数は再掲である。,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,
注：４）総数には、入院時食事・生活療養を含まない。,,,,,,,,,,
注：５）「結核病棟特別入院基本料」には、特定機能病院の特別入院基本料を含む。,,,,,,,,,,
注：６）「薬剤料（診療識別80）」は、リハビリテーション及び精神科専門療法の薬剤料である。,,,,,,,,,,
注：７）「特定保険医療材料料（診療識別80）　酸素料」は、精神科専門療法の酸素料である。,,,,,,,,,,
注：８）「特定保険医療材料料（診療識別80）　酸素料以外」は、精神科専門療法及び放射線治療の特定保険医療材料料である。,,,,,,,,,,
注：９）「造血幹細胞移植　提供者の療養上の費用」には、骨髄移植及び末梢血管細胞移植における提供者の療養上の費用を含む。,,,,,,,,,,
,,,,,総数,総数,入院,入院,入院外,入院外
,,,,,回数,点数,回数,点数,回数,点数
診療行為１,診療行為２,診療行為３,固定点数,再掲,回,点,回,点,回,点
初・再診料計,初診小計,初診料　外来感染対策向上　加算,6 ,*,5886914 ,35321484 ,1531 ,9186 ,5885383 ,35312298 
初・再診料計,初診小計,初診料　発熱患者等対応　加算,20 ,*,2487195 ,49743900 ,79 ,1580 ,2487116 ,49742320 
初・再診料計,初診小計,初診料　連携強化　加算,3 ,*,1931839 ,5795517 ,611 ,1833 ,1931228 ,5793684 
初・再診料計,初診小計,初診料　サーベイランス強化　加算,1 ,*,610122 ,610122 ,150 ,150 ,609972 ,609972 
初・再診料計,初診小計,初診料　抗菌薬適正使用体制　加算,5 ,*,144982 ,724910 ,14 ,70 ,144968 ,724840 
初・再診料計,初診小計,初診料　医療情報取得　加算１,3 ,*,15798443 ,47395329 ,152979 ,458937 ,15645464 ,46936392 
初・再診料計,初診小計,初診料　医療情報取得　加算２,1 ,*,1719589 ,1719589 ,58749 ,58749 ,1660840 ,1660840 
初・再診料計,初診小計,初診料　医療ＤＸ推進体制整備　加算,8 ,*,10049849 ,80398792 ,195527 ,1564216 ,9854322 ,78834576 
初・再診料計,再診小計,再診小計,,,104110285 ,10171617380 ,-,17709210 ,104110285 ,10153908170 
初・再診料計,再診小計,再診料,75 ,,89288682 ,6696651150 ,-,-,89288682 ,6696651150 
初・再診料計,再診小計,再診料　情報通信機器を用いた場合,75 ,,85847 ,6438525 ,-,-,85847 ,6438525 
初・再診料計,再診小計,再診料　特定妥結率再診料,55 ,,354 ,19470 ,-,-,354 ,19470 
初・再診料計,再診小計,再診料　特定妥結率再診料　情報通信機器を用いた場合,55 ,,-,-,-,-,-,-
初・再診料計,再診小計,再診料　電話等,75 ,,278725 ,20904375 ,-,-,278725 ,20904375 
初・再診料計,再診小計,再診料　電話等　特定妥結率再診料,55 ,,2 ,110 ,-,-,2 ,110 
初・再診料計,再診小計,再診料　同日再診,75 ,,112780 ,8458500 ,-,-,112780 ,8458500 
初・再診料計,再診小計,再診料　同日再診　情報通信機器を用いた場合,75 ,,331 ,24825 ,-,-,331 ,24825 
初・再診料計,再診小計,再診料　同日再診　特定妥結率再診料,55 ,,-,-,-,-,-,-
初・再診料計,再診小計,再診料　同日再診　特定妥結率再診料　情報通信機器を用いた場合,55 ,,-,-,-,-,-,-
初・再診料計,再診小計,再診料　同日再診　電話等,75 ,,24673 ,1850475 ,-,-,24673 ,1850475 
初・再診料計,再診小計,再診料　同日再診　電話等　特定妥結率再診料,55 ,,-,-,-,-,-,-
初・再診料計,再診小計,再診料　同一日２科目,38 ,,676482 ,25706316 ,-,-,676482 ,25706316 
初・再診料計,再診小計,再診料　同一日２科目　情報通信機器を用いた場合,38 ,,30 ,1140 ,-,-,30 ,1140 
初・再診料計,再診小計,再診料　同一日２科目　特定妥結率再診料,28 ,,7 ,196 ,-,-,7 ,196 
初・再診料計,再診小計,再診料　同一日２科目　特定妥結率再診料　情報通信機器を用いた場合,28 ,,-,-,-,-,-,-
初・再診料計,再診小計,再診料　同一日２科目　電話等,38 ,,99 ,3762 ,-,-,99 ,3762 
初・再診料計,再診小計,再診料　同一日２科目　電話等　特定妥結率再診料,28 ,,-,-,-,-,-,-
初・再診料計,再診小計,再診料　乳幼児　加算,38 ,*,1775468 ,67467784 ,-,-,1775468 ,67467784 
初・再診料計,再診小計,再診料　時間外　加算,65 ,*,147962 ,9617530 ,4129 ,268385 ,143833 ,9349145 
初・再診料計,再診小計,再診料　休日　加算,190 ,*,76207 ,14479330 ,4830 ,917700 ,71377 ,13561630 
初・再診料計,再診小計,再診料　深夜　加算,420 ,*,29690 ,12469800 ,4488 ,1884960 ,25202 ,10584840 
初・再診料計,再診小計,再診料　時間外特例医療機関　加算,180 ,*,25485 ,4587300 ,5795 ,1043100 ,19690 ,3544200 
初・再診料計,再診小計,再診料　乳幼児時間外　加算,135 ,*,12234 ,1651590 ,49 ,6615 ,12185 ,1644975 
初・再診料計,再診小計,再診料　乳幼児休日　加算,260 ,*,4953 ,1287780 ,80 ,20800 ,4873 ,1266980 
初・再診料計,再診小計,再診料　乳幼児深夜　加算,590 ,*,700 ,413000 ,39 ,23010 ,661 ,389990 
初・再診料計,再診小計,再診料　乳幼児時間外特例医療機関　加算,250 ,*,1294 ,323500 ,98 ,24500 ,1196 ,299000 
初・再診料計,再診小計,再診料　小児科　乳幼児夜間　加算,135 ,*,24561 ,3315735 ,11 ,1485 ,24550 ,3314250 
初・再診料計,再診小計,再診料　小児科　乳幼児休日　加算,260 ,*,4730 ,1229800 ,8 ,2080 ,4722 ,1227720 
初・再診料計,再診小計,再診料　小児科　乳幼児深夜　加算,590 ,*,68 ,40120 ,1 ,590 ,67 ,39530 
初・再診料計,再診小計,再診料　夜間・早朝等　加算,50 ,*,2687874 ,134393700 ,-,-,2687874 ,134393700 
初・再診料計,再診小計,再診料　外来管理　加算,52 ,*,32969141 ,1714395332 ,-,-,32969141 ,1714395332 
初・再診料計,再診小計,再診料　時間外対応　加算１,5 ,*,10677233 ,53386165 ,-,-,10677233 ,53386165 
初・再診料計,再診小計,再診料　時間外対応　加算２,4 ,*,826791 ,3307164 ,-,-,826791 ,3307164 
初・再診料計,再診小計,再診料　時間外対応　加算３,3 ,*,11663851 ,34991553 ,-,-,11663851 ,34991553 
初・再診料計,再診小計,再診料　時間外対応　加算４,1 ,*,289900 ,289900 ,-,-,289900 ,289900 
初・再診料計,再診小計,再診料　明細書発行体制等　加算,1 ,*,74324993 ,74324993 ,-,-,74324993 ,74324993 
初・再診料計,再診小計,再診料　地域包括診療　加算１,28 ,*,644010 ,18032280 ,-,-,644010 ,18032280 
初・再診料計,再診小計,再診料　地域包括診療　加算２,21 ,*,1081555 ,22712655 ,-,-,1081555 ,22712655 
初・再診料計,再診小計,再診料　認知症地域包括診療　加算１,38 ,*,15247 ,579386 ,-,-,15247 ,579386 
初・再診料計,再診小計,再診料　認知症地域包括診療　加算２,31 ,*,15450 ,478950 ,-,-,15450 ,478950 
初・再診料計,再診小計,再診料　薬剤適正使用連携　加算,30 ,*,12 ,360 ,-,-,12 ,360 
初・再診料計,再診小計,再診料　外来感染対策向上　加算,6 ,*,14839987 ,89039922 ,-,-,14839987 ,89039922 
初・再診料計,再診小計,再診料　発熱患者等対応　加算,20 ,*,933138 ,18662760 ,-,-,933138 ,18662760 
初・再診料計,再診小計,再診料　連携強化　加算,3 ,*,5302435 ,15907305 ,-,-,5302435 ,15907305 
初・再診料計,再診小計,再診料　サーベイランス強化　加算,1 ,*,1499490 ,1499490 ,-,-,1499490 ,1499490 
初・再診料計,再診小計,再診料　抗菌薬適正使用体制　加算,5 ,*,207320 ,1036600 ,-,-,207320 ,1036600 
初・再診料計,再診小計,再診料　医療情報取得　加算３,2 ,*,15527518 ,31055036 ,-,-,15527518 ,31055036 
初・再診料計,再診小計,再診料　医療情報取得　加算４,1 ,*,1448205 ,1448205 ,-,-,1448205 ,1448205 
初・再診料計,再診小計,再診料　看護師等遠隔診療補助　加算,50 ,*,119 ,5950 ,-,-,119 ,5950 
初・再診料計,再診小計,外来診療料　,76 ,,12973178 ,985961528 ,-,-,12973178 ,985961528 
初・再診料計,再診小計,外来診療料　情報通信機器を用いた場合,75 ,,1165 ,87375 ,-,-,1165 ,87375 
初・再診料計,再診小計,外来診療料　他の医療機関に対して文書による紹介を行う旨の申出を行っている患者,56 ,,13523 ,757288 ,-,-,13523 ,757288 
初・再診料計,再診小計,外来診療料　他の医療機関に対して文書による紹介を行う旨の申出を行っている患者　情報通信機器を用いた場合,56 ,,1 ,56 ,-,-,1 ,56 
初・再診料計,再診小計,外来診療料　特定妥結率外来診療料,56 ,,-,-,-,-,-,-
初・再診料計,再診小計,外来診療料　特定妥結率外来診療料　情報通信機器を用いた場合,56 ,,-,-,-,-,-,-
初・再診料計,再診小計,外来診療料　同日,76 ,,13246 ,1006696 ,-,-,13246 ,1006696 
初・再診料計,再診小計,外来診療料　同日　情報通信機器を用いた場合,75 ,,1 ,75 ,-,-,1 ,75 
初・再診料計,再診小計,外来診療料　同日　他の医療機関に対して文書による紹介を行う旨の申出を行っている患者,56 ,,6 ,336 ,-,-,6 ,336 
初・再診料計,再診小計,外来診療料　同日　他の医療機関に対して文書による紹介を行う旨の申出を行っている患者　情報通信機器を用いた場合,56 ,,-,-,-,-,-,-
初・再診料計,再診小計,外来診療料　同日　特定妥結率外来診療料,56 ,,-,-,-,-,-,-
初・再診料計,再診小計,外来診療料　同日　特定妥結率外来診療料　情報通信機器を用いた場合,56 ,,-,-,-,-,-,-
初・再診料計,再診小計,外来診療料　同一日２科目,38 ,,639957 ,24318366 ,-,-,639957 ,24318366 
初・再診料計,再診小計,外来診療料　同一日２科目　情報通信機器を用いた場合,38 ,,12 ,456 ,-,-,12 ,456 
初・再診料計,再診小計,外来診療料　同一日２科目　他の医療機関に対して文書による紹介を行う旨の申出を行っている患者,28 ,,1182 ,33096 ,-,-,1182 ,33096 
初・再診料計,再診小計,外来診療料　同一日２科目　他の医療機関に対して文書による紹介を行う旨の申出を行っている患者　情報通信機器を用いた場合,28 ,,-,-,-,-,-,-
初・再診料計,再診小計,外来診療料　同一日２科目　特定妥結率外来診療料,28 ,,2 ,56 ,-,-,2 ,56 
初・再診料計,再診小計,外来診療料　同一日２科目　特定妥結率外来診療料　情報通信機器を用いた場合,28 ,,-,-,-,-,-,-
初・再診料計,再診小計,外来診療料　選定療養　病床数が200床以上の病院　50点減算,(50),*,13749 ,(687450),-,-,13749 ,(687450)
初・再診料計,再診小計,外来診療料　選定療養　病床数が200床以上の病院　38点減算,(38),*,217 ,(8246),-,-,217 ,(8246)
初・再診料計,再診小計,外来診療料　選定療養　病床数が200床以上の病院　28点減算,(28),*,2 ,(56),-,-,2 ,(56)
初・再診料計,再診小計,外来診療料　乳幼児　加算,38 ,*,361346 ,13731148 ,-,-,361346 ,13731148 
初・再診料計,再診小計,外来診療料　時間外　加算,65 ,*,16885 ,1097525 ,5445 ,353925 ,11440 ,743600 
初・再診料計,再診小計,外来診療料　休日　加算,190 ,*,48931 ,9296890 ,12846 ,2440740 ,36085 ,6856150 
初・再診料計,再診小計,外来診療料　深夜　加算,420 ,*,41402 ,17388840 ,13504 ,5671680 ,27898 ,11717160 
初・再診料計,再診小計,外来診療料　時間外特例医療機関　加算,180 ,*,73580 ,13244400 ,22467 ,4044060 ,51113 ,9200340 
初・再診料計,再診小計,外来診療料　乳幼児時間外　加算,135 ,*,1433 ,193455 ,332 ,44820 ,1101 ,148635 
初・再診料計,再診小計,外来診療料　乳幼児休日　加算,260 ,*,5704 ,1483040 ,683 ,177580 ,5021 ,1305460 
初・再診料計,再診小計,外来診療料　乳幼児深夜　加算,590 ,*,4099 ,2418410 ,724 ,427160 ,3375 ,1991250 
初・再診料計,再診小計,外来診療料　乳幼児時間外特例医療機関　加算,250 ,*,8656 ,2164000 ,1319 ,329750 ,7337 ,1834250 
初・再診料計,再診小計,外来診療料　小児科　乳幼児夜間　加算,135 ,*,75 ,10125 ,16 ,2160 ,59 ,7965 
初・再診料計,再診小計,外来診療料　小児科　乳幼児休日　加算,260 ,*,161 ,41860 ,36 ,9360 ,125 ,32500 
初・再診料計,再診小計,外来診療料　小児科　乳幼児深夜　加算,590 ,*,138 ,81420 ,25 ,14750 ,113 ,66670 
初・再診料計,再診小計,外来診療料　医療情報取得　加算３,2 ,*,3069320 ,6138640 ,-,-,3069320 ,6138640 
初・再診料計,再診小計,外来診療料　医療情報取得　加算４,1 ,*,368232 ,368232 ,-,-,368232 ,368232 
初・再診料計,再診小計,外来診療料　看護師等遠隔診療補助　加算,50 ,*,-,-,-,-,-,-
初・再診料計,,補正点数（＋）　初診・再診,,,-,746 ,-,-,-,746 
初・再診料計,,補正点数（－）　初診・再診,,,-,(388),-,-,-,(388)
入院料等計,,入院料等計,,,23468622 ,47521329696 ,23328520 ,47328428910 ,140102 ,192900786 
入院料等計,入院計,入院計,,,23328520 ,47327897290 ,23328520 ,47327897290 ,-,-
入院料等計,入院計－入院基本料計,入院基本料計,,,14083018 ,19933979095 ,14083018 ,19933979095 ,-,-
入院料等計,入院計－入院基本料計－病院計,病院計,,,13382626 ,19206702471 ,13382626 ,19206702471 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院基本料計,,,3588537 ,6035869782 ,3588537 ,6035869782 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料１,1688 ,,929729 ,1569382552 ,929729 ,1569382552 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料２,1644 ,,180391 ,296562804 ,180391 ,296562804 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料３,1569 ,,21712 ,34066128 ,21712 ,34066128 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料４,1462 ,,1156646 ,1691016452 ,1156646 ,1691016452 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料５,1451 ,,197848 ,287077448 ,197848 ,287077448 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料６,1404 ,,302100 ,424148400 ,302100 ,424148400 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,地域一般入院料１,1176 ,,175469 ,206351544 ,175469 ,206351544 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,地域一般入院料２,1170 ,,69914 ,81799380 ,69914 ,81799380 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,地域一般入院料３,1003 ,,461974 ,463359922 ,461974 ,463359922 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟特別入院基本料,612 ,,73425 ,44936100 ,73425 ,44936100 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料１　月平均夜勤時間超過減算,1435 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料２　月平均夜勤時間超過減算,1397 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料３　月平均夜勤時間超過減算,1334 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料４　月平均夜勤時間超過減算,1243 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料５　月平均夜勤時間超過減算,1233 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料６　月平均夜勤時間超過減算,1193 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,地域一般入院料１　月平均夜勤時間超過減算,1000 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,地域一般入院料２　月平均夜勤時間超過減算,995 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,地域一般入院料３　月平均夜勤時間超過減算,853 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院基本料　特定時間退院減算,,,141 ,192302 ,141 ,192302 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院基本料　特定曜日入退院減算,,,40 ,51941 ,40 ,51941 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院基本料　夜間看護体制特定日減算,,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料１　夜勤時間特別入院基本料,1182 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料２　夜勤時間特別入院基本料,1151 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料３　夜勤時間特別入院基本料,1098 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料４　夜勤時間特別入院基本料,1023 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料５　夜勤時間特別入院基本料,1016 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,急性期一般入院料６　夜勤時間特別入院基本料,983 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,地域一般入院料１　夜勤時間特別入院基本料,823 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,地域一般入院料２　夜勤時間特別入院基本料,819 ,,106 ,86814 ,106 ,86814 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,地域一般入院料３　夜勤時間特別入院基本料,702 ,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟選定療養（入院期間180日超）入院基本料,,,11965 ,11844348 ,11965 ,11844348 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院期間（14日以内）　加算,450 ,*,1674586 ,753563700 ,1674586 ,753563700 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院期間（14日以内・特別入院基本料等）　加算,300 ,*,12291 ,3687300 ,12291 ,3687300 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院期間（15日以上30日以内）　加算,192 ,*,697874 ,133991808 ,697874 ,133991808 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院期間（15日以上30日以内・特別入院基本料等）　加算,155 ,*,5171 ,801505 ,5171 ,801505 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,地域一般入院基本料　重症児（者）受入連携　加算,2000 ,*,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,地域一般入院基本料　救急・在宅等支援病床初期　加算,150 ,*,172951 ,25942650 ,172951 ,25942650 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院基本料　通常外泊,,,1481 ,331304 ,1481 ,331304 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院基本料　精神外泊,,,88 ,27666 ,88 ,27666 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院基本料　他医療機関受診（出来高入院料）10％控除,,,5357 ,6431088 ,5357 ,6431088 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院基本料　90日超入院患者　他医療機関受診（包括診療行為算定）（特定機能病院入院基本料・専門病院入院基本料算定の者も含む）40％控除　,,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院基本料　90日超入院患者　他医療機関受診（包括診療行為未算定）（特定機能病院入院基本料・専門病院入院基本料算定の者も含む）10％控除　,,,3 ,4047 ,3 ,4047 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院基本料　高度な放射線治療機器等を有する他医療機関受診（出来高入院料）5％控除,,,148 ,212579 ,148 ,212579 ,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院基本料　90日超入院患者　高度な放射線治療機器等を有する他医療機関受診（包括診療行為算定）（特定機能病院入院基本料・専門病院入院基本料算定の者も含む）35％控除,,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－一般病棟入院基本料計,一般病棟入院基本料　90日超入院患者　高度な放射線治療機器等を有する他医療機関受診（包括診療行為未算定）（特定機能病院入院基本料・専門病院入院基本料算定の者も含む）5％控除,,,-,-,-,-,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院基本料計,,,4993829 ,7685671180 ,4993829 ,7685671180 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料１,1964 ,,28282 ,55545848 ,28282 ,55545848 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料１（生活療養）,1949 ,,323443 ,630390407 ,323443 ,630390407 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料２,1909 ,,1217 ,2323253 ,1217 ,2323253 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料２（生活療養）,1895 ,,21313 ,40388135 ,21313 ,40388135 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料３,1621 ,,281 ,455501 ,281 ,455501 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料３（生活療養）,1607 ,,3151 ,5063657 ,3151 ,5063657 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料４,1692 ,,37204 ,62949168 ,37204 ,62949168 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料４（生活療養）,1677 ,,418936 ,702555672 ,418936 ,702555672 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料５,1637 ,,1738 ,2845106 ,1738 ,2845106 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料５（生活療養）,1623 ,,39248 ,63699504 ,39248 ,63699504 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料６,1349 ,,422 ,569278 ,422 ,569278 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料６（生活療養）,1335 ,,5745 ,7669575 ,5745 ,7669575 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料７,1644 ,,1135 ,1865940 ,1135 ,1865940 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料７（生活療養）,1629 ,,16965 ,27635985 ,16965 ,27635985 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料８,1589 ,,206 ,327334 ,206 ,327334 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料８（生活療養）,1575 ,,4700 ,7402500 ,4700 ,7402500 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料９,1301 ,,101 ,131401 ,101 ,131401 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料９（生活療養）,1287 ,,702 ,903474 ,702 ,903474 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料10,1831 ,,7401 ,13551231 ,7401 ,13551231 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料10（生活療養）,1816 ,,72859 ,132311944 ,72859 ,132311944 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料11,1776 ,,1028 ,1825728 ,1028 ,1825728 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料11（生活療養）,1762 ,,16176 ,28502112 ,16176 ,28502112 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料12,1488 ,,451 ,671088 ,451 ,671088 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料12（生活療養）,1474 ,,5520 ,8136480 ,5520 ,8136480 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料13,1455 ,,12062 ,17550210 ,12062 ,17550210 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料13（生活療養）,1440 ,,120358 ,173315520 ,120358 ,173315520 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料14,1427 ,,4083 ,5826441 ,4083 ,5826441 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料14（生活療養）,1413 ,,38744 ,54745272 ,38744 ,54745272 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料15,1273 ,,1411 ,1796203 ,1411 ,1796203 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料15（生活療養）,1258 ,,12300 ,15473400 ,12300 ,15473400 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料16,1371 ,,19801 ,27147171 ,19801 ,27147171 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料16（生活療養）,1356 ,,179394 ,243258264 ,179394 ,243258264 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料17,1343 ,,11851 ,15915893 ,11851 ,15915893 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料17（生活療養）,1329 ,,120899 ,160674771 ,120899 ,160674771 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料18,1189 ,,3919 ,4659691 ,3919 ,4659691 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料18（生活療養）,1174 ,,38111 ,44742314 ,38111 ,44742314 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料19,1831 ,,39819 ,72908589 ,39819 ,72908589 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料19（生活療養）,1816 ,,627645 ,1139803320 ,627645 ,1139803320 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料20,1776 ,,3167 ,5624592 ,3167 ,5624592 ,-,-
入院料等計,入院計－入院基本料計－病院計－療養病棟入院基本料計,療養病棟入院料１　入院料20（生活療養）,1762 ,,84216 ,148388592 ,84216 ,148388592 ,-,-
