"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1102","","A110201","","A110202","","A141501","","A141502","","A141601","","A141602","","A141701","","A141702","","A141801","","A141802","","A191003","","A191005","","A191007","","A5103","","A5104","","A7101","","I5101","","I510120","","I510150","","I5102","","I510201","","J230113","","J230133","","J230223",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1102_日本人人口【人】","注釈","A110201_日本人人口（男）【人】","注釈","A110202_日本人人口（女）【人】","注釈","A141501_40歳以上人口（男）【人】","注釈","A141502_40歳以上人口（女）【人】","注釈","A141601_60歳以上人口（男）【人】","注釈","A141602_60歳以上人口（女）【人】","注釈","A141701_70歳以上人口（男）【人】","注釈","A141702_70歳以上人口（女）【人】","注釈","A141801_80歳以上人口（男）【人】","注釈","A141802_80歳以上人口（女）【人】","注釈","A191003_将来推計人口（2030年）【人】","注釈","A191005_将来推計人口（2040年）【人】","注釈","A191007_将来推計人口（2050年）【人】","注釈","A5103_転入者数【人】","注釈","A5104_転出者数【人】","注釈","A7101_世帯数【世帯】","注釈","I5101_病院数【施設】","注釈","I510120_一般病院数【施設】","注釈","I510150_療養病床を有する病院数【施設】","注釈","I5102_一般診療所数【施設】","注釈","I510201_有床一般診療所数【施設】","注釈","J230113_養護老人ホーム在所者数（詳細票）【人】","注釈","J230133_軽費老人ホーム在所者数（詳細票）【人】","注釈","J230223_有料老人ホーム在所者数（詳細票）【人】","注釈"
"2021100000","2021年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","11,268","","11,330","","***","","21","","16","","11","","175","","18","","***","","***","","***",""
"2021100000","2021年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8,024","","7,509","","***","","9","","8","","3","","103","","11","","***","","***","","***",""
"2021100000","2021年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","13,030","","12,054","","***","","13","","13","","5","","209","","23","","***","","***","","***",""
"2020100000","2020年度","40130","福岡県 福岡市","","1,504,528","","705,628","","798,900","","387,794","","464,132","","179,829","","240,529","","100,380","","152,820","","33,650","","68,110","","***","","***","","***","","114,455","","106,546","","831,124","","114","","101","","44","","1,598","","126","","***","","***","","***",""
"2020100000","2020年度","40131","福岡県 福岡市 東区","","303,800","","146,545","","157,255","","80,604","","91,935","","37,833","","48,357","","21,206","","30,676","","6,963","","13,655","","***","","***","","***","","20,236","","17,628","","156,362","","21","","18","","9","","209","","19","","***","","***","","***",""
"2020100000","2020年度","40132","福岡県 福岡市 博多区","","223,016","","107,271","","115,745","","54,754","","60,058","","22,601","","29,856","","12,019","","18,993","","3,788","","8,659","","***","","***","","***","","24,831","","24,186","","154,640","","18","","18","","6","","280","","17","","***","","***","","***",""
"2020100000","2020年度","40133","福岡県 福岡市 中央区","","184,272","","81,245","","103,027","","44,017","","57,331","","18,208","","26,179","","9,714","","16,013","","3,181","","6,885","","***","","***","","***","","19,878","","17,715","","127,391","","15","","14","","3","","404","","22","","***","","***","","***",""
"2020100000","2020年度","40134","福岡県 福岡市 南区","","253,840","","117,309","","136,531","","66,242","","81,380","","31,576","","42,825","","17,739","","27,416","","6,047","","12,175","","***","","***","","***","","16,361","","15,492","","129,031","","18","","15","","6","","223","","16","","***","","***","","***",""
"2020100000","2020年度","40135","福岡県 福岡市 西区","","200,541","","94,577","","105,964","","51,957","","64,059","","25,623","","34,451","","14,956","","22,462","","5,304","","10,309","","***","","***","","***","","11,597","","11,761","","95,698","","20","","15","","12","","170","","18","","***","","***","","***",""
"2020100000","2020年度","40136","福岡県 福岡市 城南区","","124,788","","58,487","","66,301","","32,685","","39,991","","16,245","","21,984","","9,274","","14,043","","3,207","","6,242","","***","","***","","***","","8,376","","7,642","","67,367","","9","","8","","3","","104","","11","","***","","***","","***",""
